"","process","gene_set_specific","immune_system","immune_sub_system","immune_tissue","go_term","genes","set_size_specific","set_size_nested"
"1","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RHOA",676,676
"2","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","GPR183",676,676
"3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","BTK",676,676
"4","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CH25H",676,676
"5","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","BAX",676,676
"6","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD19",676,676
"7","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","BRAF",676,676
"8","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CDH26",676,676
"9","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CD81",676,676
"10","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TOX",676,676
"11","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","EOMES",676,676
"12","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","KLRC1",676,676
"13","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","RAB27A",676,676
"14","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ABL1",676,676
"15","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL15",676,676
"16","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","FCER1G",676,676
"17","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","CCL2",676,676
"18","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","YY1",676,676
"19","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","HSPD1",676,676
"20","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","IL2RG",676,676
"21","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","ST3GAL1",676,676
"22","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General","Manual insertion","TNFSF4",676,676
