Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 Dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
;84,16%;86,14%;78,64%;75,72%;74,04%;83,50%;86,06%;80,66%;88,95%;87,30%;86,03%;89,05%;83,75%;87,02%;78,56%;86,38%;89,00%;66,49%;71,72%
;89,30%;85,08%;76,60%;78,57%;74,88%;81,24%;85,05%;85,75%;89,60%;85,70%;85,02%;89,80%;81,11%;85,78%;76,49%;86,69%;89,53%;54,58%;64,27%
;104,03%;86,04%;79,49%;85,22%;83,96%;86,16%;86,00%;102,51%;93,30%;88,30%;86,00%;90,89%;84,00%;86,14%;77,90%;89,01%;91,06%;73,90%;81,94%
;104,03%;86,04%;79,49%;85,22%;83,96%;86,16%;86,00%;102,51%;93,30%;88,30%;86,00%;90,89%;84,00%;86,14%;77,90%;89,01%;91,06%;73,90%;81,94%
Totais;104,03%;86,04%;79,49%;85,22%;83,96%;86,16%;86,00%;102,51%;93,30%;88,30%;86,00%;90,89%;84,00%;86,14%;77,90%;89,01%;91,06%;73,90%;81,94%
530010 - Brasília;104,03%;86,04%;79,49%;85,22%;83,96%;86,16%;86,00%;102,51%;93,30%;88,30%;86,00%;90,89%;84,00%;86,14%;77,90%;89,01%;91,06%;73,90%;81,94%
;75,80%;79,64%;70,06%;75,64%;67,57%;74,39%;79,59%;71,45%;81,76%;77,69%;79,56%;85,08%;74,08%;80,32%;70,60%;81,97%;84,55%;48,86%;51,30%
;83,75%;86,13%;78,91%;88,60%;74,39%;83,82%;86,20%;80,31%;87,24%;83,13%;86,13%;90,41%;83,12%;87,21%;78,88%;87,16%;94,29%;57,58%;53,04%
Totais;77,91%;87,33%;80,94%;89,54%;75,06%;87,69%;87,40%;74,65%;90,43%;87,14%;87,33%;90,63%;85,11%;87,84%;80,53%;87,43%;93,67%;61,10%;54,11%
520013 - Acreúna;86,09%;89,47%;63,53%;69,92%;69,17%;75,94%;89,47%;75,19%;93,23%;79,70%;89,47%;96,62%;75,19%;91,73%;64,29%;94,36%;87,97%;40,60%;44,36%
520145 - Aparecida do Rio Doce;93,94%;84,85%;90,91%;109,09%;78,79%;100,00%;84,85%;81,82%;72,73%;100,00%;84,85%;78,79%;100,00%;81,82%;93,94%;75,76%;109,09%;78,79%;87,88%
520410 - Cachoeira Alta;89,52%;92,38%;110,48%;115,24%;92,38%;120,95%;92,38%;86,67%;103,81%;123,81%;92,38%;95,24%;117,14%;93,33%;119,05%;92,38%;115,24%;97,14%;81,90%
520430 - Caçu;96,88%;76,88%;83,13%;108,75%;73,13%;86,25%;76,88%;91,88%;91,25%;80,00%;76,88%;93,13%;77,50%;77,50%;81,88%;93,13%;80,63%;71,88%;59,38%
520505 - Castelândia;134,78%;134,78%;130,43%;104,35%;130,43%;143,48%;134,78%;134,78%;130,43%;134,78%;134,78%;126,09%;134,78%;134,78%;139,13%;126,09%;143,48%;121,74%;130,43%
521080 - Itajá;97,92%;89,58%;110,42%;102,08%;85,42%;102,08%;89,58%;102,08%;114,58%;100,00%;89,58%;93,75%;93,75%;89,58%;106,25%;89,58%;93,75%;95,83%;89,58%
