Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto - Gestantes;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
;93,19%;89,20%;86,39%;87,04%;73,78%;84,57%;88,88%;90,86%;87,69%;91,65%;89,19%;92,40%;92,92%;88,86%;88,29%;88,91%;96,34%;80,02%;72,79%
;93,28%;89,06%;82,97%;85,59%;76,92%;83,99%;88,18%;90,75%;89,72%;92,76%;89,05%;94,28%;92,99%;88,43%;85,96%;90,11%;95,48%;80,38%;78,93%
;102,19%;93,28%;82,52%;98,48%;83,56%;90,02%;91,62%;99,27%;95,70%;98,42%;93,27%;99,72%;98,11%;92,39%;86,84%;95,24%;101,80%;87,32%;89,99%
;102,19%;93,28%;82,52%;98,48%;83,56%;90,02%;91,62%;99,27%;95,70%;98,42%;93,27%;99,72%;98,11%;92,39%;86,84%;95,24%;101,80%;87,32%;89,99%
Totais;102,19%;93,28%;82,52%;98,48%;83,56%;90,02%;91,62%;99,27%;95,70%;98,42%;93,27%;99,72%;98,11%;92,39%;86,84%;95,24%;101,80%;87,32%;89,99%
530010 - Brasília;102,19%;93,28%;82,52%;98,48%;83,56%;90,02%;91,62%;99,27%;95,70%;98,42%;93,27%;99,72%;98,11%;92,39%;86,84%;95,24%;101,80%;87,32%;89,99%
;84,79%;83,47%;75,02%;80,24%;72,76%;74,62%;82,46%;82,36%;83,91%;86,67%;83,46%;90,11%;87,02%;83,81%;80,73%;85,93%;90,51%;71,70%;68,13%
;91,68%;90,15%;83,19%;95,59%;79,42%;83,61%;89,32%;89,86%;93,74%;94,39%;90,17%;96,57%;93,01%;90,70%;85,97%;92,39%;95,63%;79,11%;73,40%
Totais;89,95%;87,51%;80,30%;94,67%;77,44%;82,56%;86,21%;88,10%;91,99%;90,51%;87,53%;93,99%;90,43%;87,67%;83,18%;90,24%;92,82%;77,25%;73,36%
520013 - Acreúna;80,11%;105,11%;115,91%;81,82%;104,55%;111,93%;103,98%;77,84%;111,93%;124,43%;105,11%;113,64%;123,86%;105,68%;117,61%;109,66%;123,30%;98,86%;85,23%
520145 - Aparecida do Rio Doce;103,70%;96,30%;92,59%;85,19%;100,00%;77,78%;92,59%;92,59%;111,11%;100,00%;96,30%;114,81%;100,00%;100,00%;92,59%;111,11%;103,70%;77,78%;81,48%
520410 - Cachoeira Alta;85,19%;106,17%;108,64%;130,86%;93,83%;100,00%;106,17%;82,72%;114,81%;125,93%;106,17%;108,64%;116,05%;109,88%;103,70%;102,47%;132,10%;107,41%;106,17%
520430 - Caçu;90,32%;95,97%;82,26%;104,84%;89,52%;81,45%;95,16%;91,13%;95,16%;97,58%;95,97%;94,35%;95,97%;95,97%;89,52%;91,13%;97,58%;78,23%;79,03%
520505 - Castelândia;85,29%;61,76%;67,65%;85,29%;44,12%;67,65%;61,76%;82,35%;64,71%;52,94%;61,76%;82,35%;52,94%;61,76%;67,65%;79,41%;55,88%;64,71%;70,59%
521080 - Itajá;90,24%;68,29%;92,68%;92,68%;75,61%;100,00%;65,85%;85,37%;70,73%;95,12%;68,29%;70,73%;82,93%;68,29%;85,37%;70,73%;100,00%;92,68%;95,12%
521130 - Itarumã;85,71%;85,71%;85,71%;65,71%;61,43%;88,57%;85,71%;85,71%;87,14%;78,57%;85,71%;82,86%;80,00%;85,71%;82,86%;84,29%;82,86%;90,00%;88,57%
