"Ano";"BCG";"Hepatite B idade <= 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacte(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e dTpa gestante";"dTpa gestante";"Tetravalente(DTP/Hib)(TETRA)";"Varicela"
"1994";"88,31";"0";"0";"0";"8,85";"0";"0";"58,24";"0";"5,27";"0";"0";"0";"0";"0";"0";"0";"64,76";"0";"0";"71,37";"0";"0";"0";"0";"0"
"1995";"103,63";"0";"0";"0";"10,50";"0";"0";"77,83";"0";"4,81";"0";"0";"0";"0";"0";"0";"0";"80,54";"0";"0";"86,86";"0,00";"0";"0";"0";"0"
"1996";"104,21";"0";"0";"0";"16,50";"0";"0";"80,86";"0";"5,65";"0";"0";"0";"0";"0";"0";"0";"78,25";"0";"0";"80,40";"0,01";"0";"0";"0";"0"
"1997";"117,12";"0";"0";"0";"5,79";"0";"0";"89,27";"0";"7,84";"0";"0";"0";"0";"0";"0";"0";"78,50";"0";"0";"108,61";"0,03";"0";"0";"0";"0"
"1998";"111,61";"0";"0";"0";"12,63";"0";"0";"95,30";"0";"18,49";"0";"0";"0";"0";"0";"0";"0";"92,97";"0";"0";"95,26";"0,84";"0";"0";"0";"0"
"1999";"117,28";"0";"0";"0";"83,50";"0";"0";"99,08";"0";"29,06";"0";"0";"0";"0";"6692,10";"0";"0";"94,46";"0";"0";"99,31";"5,09";"0";"0";"0";"0"
"2000";"111,74";"0";"0";"0";"91,08";"0";"0";"101,44";"0";"37,14";"0";"0";"0";"0";"77,50";"0";"0";"94,71";"0";"0";"105,35";"87,85";"0";"0";"0";"0"
"2001";"112,60";"0";"0";"0";"91,88";"0";"0";"102,83";"0";"40,24";"0";"0";"0";"0";"88,43";"0";"0";"97,45";"0";"0";"103,85";"93,10";"0";"0";"0";"0"
"2002";"110,28";"0";"0";"0";"91,47";"0";"0";"100,01";"0";"38,70";"0";"0";"0";"0";"96,92";"0";"0";"44,69";"0";"0";"96,02";"38,98";"0";"0";"53,86";"0"
"2003";"108,47";"0";"0";"0";"92,00";"0";"0";"100,48";"0";"34,68";"0";"0";"0";"0";"112,95";"0";"0";"1,41";"0";"0";"4,06";"1,72";"0";"0";"97,47";"0"
"2004";"113,36";"0";"0";"0";"96,26";"0";"0";"104,30";"0";"38,29";"0";"0";"0";"0";"110,93";"0";"0";"102,41";"0";"0";"0";"0";"0";"0";"102,30";"0"
"2005";"114,48";"0";"0";"0";"98,46";"0";"0";"105,12";"0";"42,95";"0";"0";"0";"0";"106,55";"0";"0";"102,82";"0";"0";"0";"0";"0";"0";"102,49";"0"
"2006";"113,06";"0";"46,52";"0";"100,30";"0";"0";"105,25";"0";"46,17";"0";"0";"0";"0";"105,35";"0";"0";"103,50";"0";"0";"0";"0";"0";"0";"103,31";"0"
"2007";"111,08";"0";"79,79";"0";"99,89";"0";"0";"105,43";"0";"49,23";"0";"0";"0";"0";"106,80";"0";"0";"103,25";"0";"0";"0";"0";"0";"0";"103,06";"0"
"2008";"108,91";"0";"81,18";"0";"96,06";"0";"0";"100,18";"0";"47,09";"0";"0";"0";"0";"99,81";"0";"0";"97,98";"0";"0";"0";"0";"0";"0";"97,62";"0"
"2009";"108,71";"0";"85,99";"0";"100,20";"0";"0";"103,66";"0";"49,69";"0";"0";"0";"0";"103,74";"0";"0";"101,71";"0";"0";"0";"0";"0";"0";"101,39";"0"
"2010";"106,71";"0";"83,04";"26,88";"96,08";"0";"24,02";"99,35";"0";"49,25";"0";"0";"0";"0";"99,93";"0";"0";"98,01";"0";"0";"0";"0";"0";"0";"97,66";"0"
"2011";"107,94";"0";"87,06";"105,66";"97,71";"0";"81,65";"101,33";"0";"48,95";"0";"0";"0";"0";"102,39";"0";"0";"99,61";"0";"0";"0";"0";"0";"0";"99,00";"0"
"2012";"105,69";"0";"86,37";"96,18";"96,67";"24,89";"88,39";"96,55";"0";"49,31";"0";"0";"0";"0";"99,50";"0";"0";"93,81";"0";"0";"0";"0";"0";"0";"68,93";"0"
"2013";"107,42";"0";"93,52";"99,70";"100,56";"95,89";"93,57";"100,71";"0";"51,50";"0";"93,11";"92,35";"92,92";"107,46";"68,87";"34,19";"97,85";"0";"90,96";"0";"0";"50,73";"2,80";"98,11";"0"
"2014";"107,28";"88,54";"93,44";"96,36";"96,42";"94,85";"93,45";"96,76";"0";"46,86";"60,13";"87,95";"88,55";"86,31";"112,80";"92,88";"90,19";"95,48";"2,41";"86,36";"0";"0";"43,50";"9,34";"95,50";"0"
"2015";"105,08";"90,93";"95,35";"98,19";"97,74";"96,30";"94,23";"98,29";"0";"46,31";"97,07";"88,35";"87,85";"84,52";"96,07";"79,94";"77,37";"96,90";"0";"85,78";"0";"0";"45,57";"44,97";"95,49";"0"
