uf,ano,faixa_etaria,numero_dose,reforco,imunizante,doenca,meta,meta_atingida,populacao,qt_dose,homog_geo,cobertura,abandono,ultima_dose
RO,2000,0,1,0,BCG,,90,1,31305,34654,73.0769,110.698,,1
AC,2000,0,1,0,BCG,,90,1,16181,17101,81.8182,105.686,,1
AM,2000,0,1,0,BCG,,90,1,81012,84148,95.1613,103.871,,1
RR,2000,0,1,0,BCG,,90,1,9719,18261,26.6667,187.89,,1
PA,2000,0,1,0,BCG,,90,1,161174,162481,85.3147,100.811,,1
AP,2000,0,1,0,BCG,,90,1,15266,16755,87.5,109.754,,1
TO,2000,0,1,0,BCG,,90,1,28196,31203,76.9784,110.665,,1
MA,2000,0,1,0,BCG,,90,1,142303,163096,91.2442,114.612,,1
PI,2000,0,1,0,BCG,,90,1,62200,68393,59.3607,109.957,,1
CE,2000,0,1,0,BCG,,90,1,167989,193388,90.7609,115.119,,1
RN,2000,0,1,0,BCG,,90,1,58262,58329,58.4337,100.115,,1
PB,2000,0,1,0,BCG,,90,1,69950,72677,76.2332,103.898,,1
PE,2000,0,1,0,BCG,,90,1,167804,203858,69.1892,121.486,,1
AL,2000,0,1,0,BCG,,90,1,68997,78991,69.3069,114.485,,1
SE,2000,0,1,0,BCG,,90,1,41017,46739,38.6667,113.95,,1
BA,2000,0,1,0,BCG,,90,1,277126,289827,76.3285,104.583,,1
MG,2000,0,1,0,BCG,,90,1,336257,372241,85.2029,110.701,,1
ES,2000,0,1,0,BCG,,90,1,60593,61956,85.7143,102.249,,1
RJ,2000,0,1,0,BCG,,90,1,259187,282577,90.1099,109.024,,1
SP,2000,0,1,0,BCG,,90,1,668952,759875,92.6562,113.592,,1
PR,2000,0,1,0,BCG,,90,1,185872,199414,90.2256,107.286,,1
SC,2000,0,1,0,BCG,,90,1,100820,100736,85.2234,99.9167,,1
RS,2000,0,1,0,BCG,,90,1,174172,181810,74.73,104.385,,1
MS,2000,0,1,0,BCG,,90,1,44523,49227,93.5065,110.565,,1
MT,2000,0,1,0,BCG,,90,1,54151,60344,89.6825,111.437,,1
GO,2000,0,1,0,BCG,,90,1,101764,103027,77.2727,101.241,,1
DF,2000,0,1,0,BCG,,90,1,41516,61784,100.0,148.82,,1
RO,2000,0,1,0,Febre Amarela,,95,1,31305,35284,92.3077,112.71,,1
AC,2000,0,1,0,Febre Amarela,,95,0,16181,13711,40.9091,84.7352,,1
AM,2000,0,1,0,Febre Amarela,,95,0,81012,71500,72.5806,88.2585,,1
RR,2000,0,1,0,Febre Amarela,,95,1,9719,13767,40.0,141.65,,1
PA,2000,0,1,0,Febre Amarela,,95,0,161174,134865,58.7413,83.6767,,1
AP,2000,0,1,0,Febre Amarela,,95,0,15266,13213,68.75,86.5518,,1
TO,2000,0,1,0,Febre Amarela,,95,1,28196,28489,73.3813,101.039,,1
MA,2000,0,1,0,Febre Amarela,,95,0,142303,132887,66.3594,93.3831,,1
PI,2000,0,1,0,Febre Amarela,,95,0,62200,41847,29.4931,67.2781,,1
CE,2000,0,1,0,Febre Amarela,,95,0,167989,46403,7.38255,27.6226,,1
RN,2000,0,1,0,Febre Amarela,,95,0,58262,2068,0.0,3.54948,,1
PB,2000,0,1,0,Febre Amarela,,95,0,69950,203,0.0,0.290207,,1
PE,2000,0,1,0,Febre Amarela,,95,0,167804,14716,12.5,8.76976,,1
AL,2000,0,1,0,Febre Amarela,,95,0,68997,921,0.0,1.33484,,1
SE,2000,0,1,0,Febre Amarela,,95,0,41017,4130,2.38095,10.069,,1
BA,2000,0,1,0,Febre Amarela,,95,0,277126,203099,36.2319,73.2876,,1
MG,2000,0,1,0,Febre Amarela,,95,0,336257,153817,25.9409,45.7439,,1
